,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Fertility rate,Urban Population (%),Sunshine duration per Year
Ladder score,NA,highly correlated,highly correlated,highly correlated,NA,NA,NA,NA,NA,NA
Logged GDP per capita,highly correlated,NA,highly correlated,highly correlated,NA,NA,NA,NA,highly correlated,NA
Social support,highly correlated,highly correlated,NA,highly correlated,NA,NA,NA,NA,NA,NA
Healthy life expectancy,highly correlated,highly correlated,highly correlated,NA,NA,NA,NA,NA,NA,NA
Freedom to make life choices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generosity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perceptions of corruption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fertility rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urban Population (%),NA,highly correlated,NA,NA,NA,NA,NA,NA,NA,NA
Sunshine duration per Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
